1,1,20.038475,0.144494,0.385000,nan
1,0.75,15.037349,0.133221,0.406800,nan
1,0.5,11.491413,0.134031,0.341400,nan
1,0.25,7.348939,0.133241,0.270500,nan
5,1,49.651248,0.156065,0.410000,1.728464
5,0.75,42.445351,0.153736,0.440200,1.263425
5,0.5,33.253317,0.152480,0.446100,1.117652
5,0.25,20.006655,0.152133,0.412500,1.263580
7,1,62.498275,0.161674,0.435300,1.685557
7,0.75,53.273759,0.152679,0.451200,1.416379
7,0.5,43.226115,0.161033,0.426900,1.275769
7,0.25,27.429033,0.162345,0.437700,1.270063
10,1,85.360760,0.168238,0.420400,1.551420
10,0.75,94.618788,0.162074,0.451200,1.334534
10,0.5,81.269133,0.160574,0.455400,1.129859
10,0.25,54.589713,0.162221,0.411900,1.145071
15,1,123.039589,0.186271,0.422900,1.027184
