heads,prob,t_train,t_test,accuracy,ratio
10,0.25,53.181437,0.163615,0.4341,1.190023
1,1,19.55704,0.165986,0.3511,nan
1,0.75,15.57588,0.150895,0.3731,nan
1,0.5,12.162644,0.159059,0.315,nan
1,0.25,8.331855,0.150587,0.2264,nan
5,1,51.034528,0.152429,0.4407,1.542526
5,0.75,43.303942,0.155471,0.4475,1.490861
5,0.5,33.662078,0.159817,0.4186,1.42877
5,0.25,21.781019,0.163291,0.3955,1.281513
7,1,64.792413,0.165946,0.4352,1.446331
7,0.75,55.001366,0.165617,0.4408,1.210318
7,0.5,43.909605,0.173195,0.4462,0.933624
7,0.25,28.592939,0.160967,0.4329,1.163941
10,1,88.512016,0.175427,0.4305,1.260596
10,0.75,97.018075,0.168861,0.4354,1.508705
10,0.5,82.071182,0.164848,0.4483,1.310062
10,0.25,54.500685,0.167353,0.4343,1.102477
1,1,21.382091,0.146536,0.3661,nan
1,0.75,16.661485,0.140398,0.3416,nan
1,0.5,12.751343,0.151952,0.3332,nan
1,0.25,8.507431,0.144889,0.2333,nan
5,1,50.996995,0.163139,0.4304,1.834797
5,0.75,42.381015,0.155053,0.4363,1.375201
5,0.5,34.363058,0.155226,0.4342,0.999085
5,0.25,22.10773,0.159013,0.4019,1.23006
7,1,63.047707,0.160584,0.4381,1.576537
7,0.75,55.165294,0.164062,0.438,1.327697
7,0.5,43.537322,0.161049,0.4444,1.272566
7,0.25,28.585913,0.160269,0.4326,1.276472
10,1,88.07344,0.177896,0.4316,1.438272
10,0.75,97.46293,0.166281,0.4277,1.274621
10,0.5,84.089639,0.169549,0.4388,1.347005
10,0.25,54.437744,0.166552,0.4302,1.23499
