Kroki uczące,1 kwartyl,Średnia,3 kwartyl,Odchylenie std.,Powtórzenia,Czas
1000,316,605.8,764,393.1,1640,70s
3000,412,777.1,1020,485.01,1720,1.5min
6000,444,854.6,1148,521.79,2140,2min
9000,444,885.6,1212,527.5,2220,2.5min
12000,476,929.9,1276,551.93,1880,3min
