Kroki uczące,1 kwartyl,Średnia,3 kwartyl,Odchylenie std.,Powtórzenia,Czas
1000,348,635.4,796,410.54,1660,70s
3000,444,854.2,1166.2,510.7,1620,1.5min
6000,508,979.9,1348.2,564.33,1660,2min
9000,572,1040,1436,570.56,1700,2.5min
12000,572,1078.4,1528,590.68,1720,3min
