Kroki uczące,1 kwartyl,Średnia,3 kwartyl,Odchylenie std.,Powtórzenia,Czas
12000,17.75,18.49,21,3.61,100,70s
9000,15,17.46,20,4.22,100,1.5min
6000,16,18.44,21,4.43,100,2min
3000,7,11.86,18,6.34,100,2.5min
1000,3,5.39,6.25,3.89,100,3min
