glowy,prawd.,czas uczenia,czas testowania,dokladnosc,wspolczynnik
1,1,1.22199389413941,0.00756097497314,0.049892489971493,0
1,0.75,0.966353903266753,0.004980481435899,0.029847568298495,0
1,0.5,0.635205970243992,0.006500641458947,0.0248058259286,0
1,0.25,0.36875318932382,0.004315857840569,0.067216876187788,0
5,1,0.849408064835408,0.00367530700305,0.012150098307787,0.148039921254332
5,0.75,0.943463274602726,0.003048854582735,0.005658621740318,0.121216685168934
5,0.5,1.7468954583213,0.002187468666442,0.010131162048079,0.183747973164816
5,0.25,0.727962222350431,0.00432694215995,0.045611359452565,0.083011186313452
7,1,1.28340134058009,0.003876845511782,0.012411893937313,0.163052653331541
7,0.75,0.507832310983065,0.003360826626161,0.007365354332579,0.144337996458198
7,0.5,0.743395898117581,0.005231828515071,0.007106679174473,0.143855949464734
7,0.25,0.563810310903913,0.002334903528818,0.010830532971394,0.075862461979925
10,1,1.41661801002179,0.003309259737632,0.005844655678481,0.148920824600934
10,0.75,0.898241123043348,0.004461126142081,0.007809744625217,0.070649753789065
10,0.5,1.01369878678848,0.002815080697482,0.008323994767471,0.069153522901826
10,0.25,0.934278366474384,0.006329106839744,0.003888673009881,0.07391143081411
